"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"17:30:33,3743212","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Convert Pointer.tga","NO SUCH FILE","Filter: Convert Pointer.tga"
"17:30:33,3747178","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Convert Pointer.tga","NO SUCH FILE","Filter: Convert Pointer.tga"
"17:30:33,3751864","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Board Transport Pointer.tga","NO SUCH FILE","Filter: Board Transport Pointer.tga"
"17:30:33,3755222","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Board Transport Pointer.tga","NO SUCH FILE","Filter: Board Transport Pointer.tga"
"17:30:33,3759227","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Leave Transport Pointer.tga","NO SUCH FILE","Filter: Leave Transport Pointer.tga"
"17:30:33,3763543","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Leave Transport Pointer.tga","NO SUCH FILE","Filter: Leave Transport Pointer.tga"
"17:30:33,3769019","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Calamity Pointer.tga","NO SUCH FILE","Filter: Calamity Pointer.tga"
"17:30:33,3773328","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Calamity Pointer.tga","NO SUCH FILE","Filter: Calamity Pointer.tga"
"17:30:33,3778131","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Invalid Calamity Pointer.tga","NO SUCH FILE","Filter: Invalid Calamity Pointer.tga"
"17:30:33,3782545","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Invalid Calamity Pointer.tga","NO SUCH FILE","Filter: Invalid Calamity Pointer.tga"
"17:30:33,3788137","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Rally Point Pointer.tga","NO SUCH FILE","Filter: Rally Point Pointer.tga"
"17:30:33,3791912","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Rally Point Pointer.tga","NO SUCH FILE","Filter: Rally Point Pointer.tga"
"17:30:33,3796222","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Protected Conversion Pointer.tga","NO SUCH FILE","Filter: Protected Conversion Pointer.tga"
"17:30:33,3799794","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Protected Conversion Pointer.tga","NO SUCH FILE","Filter: Protected Conversion Pointer.tga"
"17:30:33,3803872","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Protected Calamity Pointer.tga","NO SUCH FILE","Filter: Protected Calamity Pointer.tga"
"17:30:33,3807330","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Protected Calamity Pointer.tga","NO SUCH FILE","Filter: Protected Calamity Pointer.tga"
"17:30:33,3811388","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Heal.tga","NO SUCH FILE","Filter: Heal.tga"
"17:30:33,3814458","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Heal.tga","NO SUCH FILE","Filter: Heal.tga"
"17:30:33,3818696","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Invalid Heal.tga","NO SUCH FILE","Filter: Invalid Heal.tga"
"17:30:33,3821887","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Invalid Heal.tga","NO SUCH FILE","Filter: Invalid Heal.tga"
"17:30:33,3826029","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Patrol Pointer.tga","NO SUCH FILE","Filter: Patrol Pointer.tga"
"17:30:33,3829294","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Patrol Pointer.tga","NO SUCH FILE","Filter: Patrol Pointer.tga"
"17:30:33,3832872","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Garrison Pointer.tga","NO SUCH FILE","Filter: Garrison Pointer.tga"
"17:30:33,3836405","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Garrison Pointer.tga","NO SUCH FILE","Filter: Garrison Pointer.tga"
"17:30:33,3840551","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Flare Pointer.tga","NO SUCH FILE","Filter: Flare Pointer.tga"
"17:30:33,3843911","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Flare Pointer.tga","NO SUCH FILE","Filter: Flare Pointer.tga"
"17:30:33,3847640","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Attack Ground Pointer.tga","NO SUCH FILE","Filter: Attack Ground Pointer.tga"
"17:30:33,3850797","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Attack Ground Pointer.tga","NO SUCH FILE","Filter: Attack Ground Pointer.tga"
"17:30:33,3854426","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Normal Pointer.tga","NO SUCH FILE","Filter: Normal Pointer.tga"
"17:30:33,3857676","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Normal Pointer.tga","NO SUCH FILE","Filter: Normal Pointer.tga"
"17:30:33,3862325","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Attack Pointer.tga","NO SUCH FILE","Filter: Attack Pointer.tga"
"17:30:33,3865804","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Attack Pointer.tga","NO SUCH FILE","Filter: Attack Pointer.tga"
"17:30:33,3871287","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Invalid Target Pointer.tga","NO SUCH FILE","Filter: Invalid Target Pointer.tga"
"17:30:33,3875836","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Invalid Target Pointer.tga","NO SUCH FILE","Filter: Invalid Target Pointer.tga"
"17:30:33,3882327","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Target Too Close Pointer.tga","NO SUCH FILE","Filter: Target Too Close Pointer.tga"
"17:30:33,3886015","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Target Too Close Pointer.tga","NO SUCH FILE","Filter: Target Too Close Pointer.tga"
"17:30:33,3891703","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Gather Pointer.tga","NO SUCH FILE","Filter: Gather Pointer.tga"
"17:30:33,3895087","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Gather Pointer.tga","NO SUCH FILE","Filter: Gather Pointer.tga"
"17:30:33,3898965","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Build Pointer.tga","NO SUCH FILE","Filter: Build Pointer.tga"
"17:30:33,3902112","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Build Pointer.tga","NO SUCH FILE","Filter: Build Pointer.tga"
"17:30:33,3906058","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Blank Pointer.tga","NO SUCH FILE","Filter: Blank Pointer.tga"
"17:30:33,3909156","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Blank Pointer.tga","NO SUCH FILE","Filter: Blank Pointer.tga"
"17:30:33,3913160","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\No LOS.tga","NO SUCH FILE","Filter: No LOS.tga"
"17:30:33,3916257","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\No LOS.tga","NO SUCH FILE","Filter: No LOS.tga"
"17:30:33,3920304","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Plus Pointer.tga","NO SUCH FILE","Filter: Plus Pointer.tga"
"17:30:33,3923455","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Plus Pointer.tga","NO SUCH FILE","Filter: Plus Pointer.tga"
"17:30:33,3927433","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Blank Pointer.tga","NO SUCH FILE","Filter: Blank Pointer.tga"
"17:30:33,3930837","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Blank Pointer.tga","NO SUCH FILE","Filter: Blank Pointer.tga"
"17:30:35,4645667","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\gametools_1_1.sst","NO SUCH FILE","Filter: gametools_1_1.sst"
"17:30:35,4650518","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\gametools_1_1.sst","NO SUCH FILE","Filter: gametools_1_1.sst"
"17:30:35,4752477","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\gametools_1_2.sst","NO SUCH FILE","Filter: gametools_1_2.sst"
"17:30:35,4755926","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\gametools_1_2.sst","NO SUCH FILE","Filter: gametools_1_2.sst"
"17:30:35,4828054","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\gametools_1_3.sst","NO SUCH FILE","Filter: gametools_1_3.sst"
"17:30:35,4832653","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\gametools_1_3.sst","NO SUCH FILE","Filter: gametools_1_3.sst"
"17:30:35,4902950","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\gametools_1_4.sst","NO SUCH FILE","Filter: gametools_1_4.sst"
"17:30:35,4906614","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\gametools_1_4.sst","NO SUCH FILE","Filter: gametools_1_4.sst"
"17:30:35,4996729","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\gametools_2_1.sst","NO SUCH FILE","Filter: gametools_2_1.sst"
"17:30:35,5001144","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\gametools_2_1.sst","NO SUCH FILE","Filter: gametools_2_1.sst"
"17:30:35,5031248","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\gametools_2_2.sst","NO SUCH FILE","Filter: gametools_2_2.sst"
"17:30:35,5034472","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\gametools_2_2.sst","NO SUCH FILE","Filter: gametools_2_2.sst"
"17:30:35,5097145","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\gametools_2_3.sst","NO SUCH FILE","Filter: gametools_2_3.sst"
"17:30:35,5101229","Empire Earth.exe","6096","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\gametools_2_3.sst","NO SUCH FILE","Filter: gametools_2_3.sst"
