"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"14:07:44,9127330","Empire Earth.exe","8868","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\UIControls.sst","NO SUCH FILE","Filter: UIControls.sst"
"14:07:44,9130035","Empire Earth.exe","8868","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\UIControls.sst","NO SUCH FILE","Filter: UIControls.sst"
"14:07:49,2360627","Empire Earth.exe","8868","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\UIControls.sst","NO SUCH FILE","Filter: UIControls.sst"
"14:07:49,2363750","Empire Earth.exe","8868","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\UIControls.sst","NO SUCH FILE","Filter: UIControls.sst"
"14:07:49,2420374","Empire Earth.exe","8868","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\mainmenuback_1_1.sst","NO SUCH FILE","Filter: mainmenuback_1_1.sst"
"14:07:49,2425411","Empire Earth.exe","8868","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\mainmenuback_1_1.sst","NO SUCH FILE","Filter: mainmenuback_1_1.sst"
"14:07:49,2522527","Empire Earth.exe","8868","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\mainmenuback_1_2.sst","NO SUCH FILE","Filter: mainmenuback_1_2.sst"
"14:07:49,2527126","Empire Earth.exe","8868","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\mainmenuback_1_2.sst","NO SUCH FILE","Filter: mainmenuback_1_2.sst"
"14:07:49,2604811","Empire Earth.exe","8868","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\mainmenuback_1_3.sst","NO SUCH FILE","Filter: mainmenuback_1_3.sst"
"14:07:49,2607904","Empire Earth.exe","8868","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\mainmenuback_1_3.sst","NO SUCH FILE","Filter: mainmenuback_1_3.sst"
"14:07:49,2674441","Empire Earth.exe","8868","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\mainmenuback_1_4.sst","NO SUCH FILE","Filter: mainmenuback_1_4.sst"
"14:07:49,2677768","Empire Earth.exe","8868","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\mainmenuback_1_4.sst","NO SUCH FILE","Filter: mainmenuback_1_4.sst"
"14:07:49,2749716","Empire Earth.exe","8868","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\mainmenuback_2_1.sst","NO SUCH FILE","Filter: mainmenuback_2_1.sst"
"14:07:49,2752756","Empire Earth.exe","8868","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\mainmenuback_2_1.sst","NO SUCH FILE","Filter: mainmenuback_2_1.sst"
"14:07:49,2783217","Empire Earth.exe","8868","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\mainmenuback_2_2.sst","NO SUCH FILE","Filter: mainmenuback_2_2.sst"
