"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"17:47:17,1446517","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\ColorPalette.tga","NO SUCH FILE","Filter: ColorPalette.tga"
"17:47:17,1450037","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\ColorPalette.tga","NO SUCH FILE","Filter: ColorPalette.tga"
"17:47:17,2267666","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Convert Pointer.tga","NO SUCH FILE","Filter: Convert Pointer.tga"
"17:47:17,2271154","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Convert Pointer.tga","NO SUCH FILE","Filter: Convert Pointer.tga"
"17:47:17,2275629","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Board Transport Pointer.tga","NO SUCH FILE","Filter: Board Transport Pointer.tga"
"17:47:17,2278392","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Board Transport Pointer.tga","NO SUCH FILE","Filter: Board Transport Pointer.tga"
"17:47:17,2282389","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Leave Transport Pointer.tga","NO SUCH FILE","Filter: Leave Transport Pointer.tga"
"17:47:17,2285401","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Leave Transport Pointer.tga","NO SUCH FILE","Filter: Leave Transport Pointer.tga"
"17:47:17,2289840","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Calamity Pointer.tga","NO SUCH FILE","Filter: Calamity Pointer.tga"
"17:47:17,2292550","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Calamity Pointer.tga","NO SUCH FILE","Filter: Calamity Pointer.tga"
"17:47:17,2297000","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Invalid Calamity Pointer.tga","NO SUCH FILE","Filter: Invalid Calamity Pointer.tga"
"17:47:17,2299755","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Invalid Calamity Pointer.tga","NO SUCH FILE","Filter: Invalid Calamity Pointer.tga"
"17:47:17,2303640","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Rally Point Pointer.tga","NO SUCH FILE","Filter: Rally Point Pointer.tga"
"17:47:17,2307100","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Rally Point Pointer.tga","NO SUCH FILE","Filter: Rally Point Pointer.tga"
"17:47:17,2311396","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Protected Conversion Pointer.tga","NO SUCH FILE","Filter: Protected Conversion Pointer.tga"
"17:47:17,2316508","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Protected Conversion Pointer.tga","NO SUCH FILE","Filter: Protected Conversion Pointer.tga"
"17:47:17,2321974","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Protected Calamity Pointer.tga","NO SUCH FILE","Filter: Protected Calamity Pointer.tga"
"17:47:17,2325023","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Protected Calamity Pointer.tga","NO SUCH FILE","Filter: Protected Calamity Pointer.tga"
"17:47:17,2329116","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Heal.tga","NO SUCH FILE","Filter: Heal.tga"
"17:47:17,2331814","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Heal.tga","NO SUCH FILE","Filter: Heal.tga"
"17:47:17,2336350","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Invalid Heal.tga","NO SUCH FILE","Filter: Invalid Heal.tga"
"17:47:17,2339138","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Invalid Heal.tga","NO SUCH FILE","Filter: Invalid Heal.tga"
"17:47:17,2343003","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Patrol Pointer.tga","NO SUCH FILE","Filter: Patrol Pointer.tga"
"17:47:17,2345726","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Patrol Pointer.tga","NO SUCH FILE","Filter: Patrol Pointer.tga"
"17:47:17,2349440","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Garrison Pointer.tga","NO SUCH FILE","Filter: Garrison Pointer.tga"
"17:47:17,2352110","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Garrison Pointer.tga","NO SUCH FILE","Filter: Garrison Pointer.tga"
"17:47:17,2356545","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Flare Pointer.tga","NO SUCH FILE","Filter: Flare Pointer.tga"
"17:47:17,2359256","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Flare Pointer.tga","NO SUCH FILE","Filter: Flare Pointer.tga"
"17:47:17,2363238","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Attack Ground Pointer.tga","NO SUCH FILE","Filter: Attack Ground Pointer.tga"
"17:47:17,2366169","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Attack Ground Pointer.tga","NO SUCH FILE","Filter: Attack Ground Pointer.tga"
"17:47:17,2370132","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Normal Pointer.tga","NO SUCH FILE","Filter: Normal Pointer.tga"
"17:47:17,2372804","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Normal Pointer.tga","NO SUCH FILE","Filter: Normal Pointer.tga"
"17:47:17,2377012","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Attack Pointer.tga","NO SUCH FILE","Filter: Attack Pointer.tga"
"17:47:17,2379723","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Attack Pointer.tga","NO SUCH FILE","Filter: Attack Pointer.tga"
"17:47:17,2383574","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Invalid Target Pointer.tga","NO SUCH FILE","Filter: Invalid Target Pointer.tga"
"17:47:17,2386267","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Invalid Target Pointer.tga","NO SUCH FILE","Filter: Invalid Target Pointer.tga"
"17:47:17,2390302","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Target Too Close Pointer.tga","NO SUCH FILE","Filter: Target Too Close Pointer.tga"
"17:47:17,2392981","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Target Too Close Pointer.tga","NO SUCH FILE","Filter: Target Too Close Pointer.tga"
"17:47:17,2398663","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Gather Pointer.tga","NO SUCH FILE","Filter: Gather Pointer.tga"
"17:47:17,2402365","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Gather Pointer.tga","NO SUCH FILE","Filter: Gather Pointer.tga"
"17:47:17,2407780","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Build Pointer.tga","NO SUCH FILE","Filter: Build Pointer.tga"
"17:47:17,2411466","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Build Pointer.tga","NO SUCH FILE","Filter: Build Pointer.tga"
"17:47:17,2418272","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Blank Pointer.tga","NO SUCH FILE","Filter: Blank Pointer.tga"
"17:47:17,2422542","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Blank Pointer.tga","NO SUCH FILE","Filter: Blank Pointer.tga"
"17:47:17,2427972","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\No LOS.tga","NO SUCH FILE","Filter: No LOS.tga"
"17:47:17,2431681","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\No LOS.tga","NO SUCH FILE","Filter: No LOS.tga"
"17:47:17,2439654","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Plus Pointer.tga","NO SUCH FILE","Filter: Plus Pointer.tga"
"17:47:17,2443670","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Plus Pointer.tga","NO SUCH FILE","Filter: Plus Pointer.tga"
"17:47:17,2448115","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Blank Pointer.tga","NO SUCH FILE","Filter: Blank Pointer.tga"
"17:47:17,2450902","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Blank Pointer.tga","NO SUCH FILE","Filter: Blank Pointer.tga"
"17:47:21,4536229","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Convert Pointer.tga","NO SUCH FILE","Filter: Convert Pointer.tga"
"17:47:21,4544125","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Convert Pointer.tga","NO SUCH FILE","Filter: Convert Pointer.tga"
"17:47:21,4551706","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Board Transport Pointer.tga","NO SUCH FILE","Filter: Board Transport Pointer.tga"
"17:47:21,4556725","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Board Transport Pointer.tga","NO SUCH FILE","Filter: Board Transport Pointer.tga"
"17:47:21,4563492","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Leave Transport Pointer.tga","NO SUCH FILE","Filter: Leave Transport Pointer.tga"
"17:47:21,4569073","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Leave Transport Pointer.tga","NO SUCH FILE","Filter: Leave Transport Pointer.tga"
"17:47:21,4584772","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Calamity Pointer.tga","NO SUCH FILE","Filter: Calamity Pointer.tga"
"17:47:21,4593065","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Calamity Pointer.tga","NO SUCH FILE","Filter: Calamity Pointer.tga"
"17:47:21,4600199","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Invalid Calamity Pointer.tga","NO SUCH FILE","Filter: Invalid Calamity Pointer.tga"
"17:47:21,4604670","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Invalid Calamity Pointer.tga","NO SUCH FILE","Filter: Invalid Calamity Pointer.tga"
"17:47:21,4611224","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Rally Point Pointer.tga","NO SUCH FILE","Filter: Rally Point Pointer.tga"
"17:47:21,4615901","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Rally Point Pointer.tga","NO SUCH FILE","Filter: Rally Point Pointer.tga"
"17:47:21,4622686","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Protected Conversion Pointer.tga","NO SUCH FILE","Filter: Protected Conversion Pointer.tga"
"17:47:21,4627559","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Protected Conversion Pointer.tga","NO SUCH FILE","Filter: Protected Conversion Pointer.tga"
"17:47:21,4634156","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Protected Calamity Pointer.tga","NO SUCH FILE","Filter: Protected Calamity Pointer.tga"
"17:47:21,4639331","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Protected Calamity Pointer.tga","NO SUCH FILE","Filter: Protected Calamity Pointer.tga"
"17:47:21,4647553","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Heal.tga","NO SUCH FILE","Filter: Heal.tga"
"17:47:21,4652905","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Heal.tga","NO SUCH FILE","Filter: Heal.tga"
"17:47:21,4660999","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Invalid Heal.tga","NO SUCH FILE","Filter: Invalid Heal.tga"
"17:47:21,4666431","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Invalid Heal.tga","NO SUCH FILE","Filter: Invalid Heal.tga"
"17:47:21,4673762","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Patrol Pointer.tga","NO SUCH FILE","Filter: Patrol Pointer.tga"
"17:47:21,4679276","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Patrol Pointer.tga","NO SUCH FILE","Filter: Patrol Pointer.tga"
"17:47:21,4698216","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Garrison Pointer.tga","NO SUCH FILE","Filter: Garrison Pointer.tga"
"17:47:21,4705405","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Garrison Pointer.tga","NO SUCH FILE","Filter: Garrison Pointer.tga"
"17:47:21,4720051","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Flare Pointer.tga","NO SUCH FILE","Filter: Flare Pointer.tga"
"17:47:21,4724931","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Flare Pointer.tga","NO SUCH FILE","Filter: Flare Pointer.tga"
"17:47:21,4731409","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Attack Ground Pointer.tga","NO SUCH FILE","Filter: Attack Ground Pointer.tga"
"17:47:21,4745849","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Attack Ground Pointer.tga","NO SUCH FILE","Filter: Attack Ground Pointer.tga"
"17:47:21,4755327","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Normal Pointer.tga","NO SUCH FILE","Filter: Normal Pointer.tga"
"17:47:21,4760023","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Normal Pointer.tga","NO SUCH FILE","Filter: Normal Pointer.tga"
"17:47:21,4767527","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Attack Pointer.tga","NO SUCH FILE","Filter: Attack Pointer.tga"
"17:47:21,4771918","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Attack Pointer.tga","NO SUCH FILE","Filter: Attack Pointer.tga"
"17:47:21,4777935","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Invalid Target Pointer.tga","NO SUCH FILE","Filter: Invalid Target Pointer.tga"
"17:47:21,4782479","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Invalid Target Pointer.tga","NO SUCH FILE","Filter: Invalid Target Pointer.tga"
"17:47:21,4788673","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Target Too Close Pointer.tga","NO SUCH FILE","Filter: Target Too Close Pointer.tga"
"17:47:21,4792940","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Target Too Close Pointer.tga","NO SUCH FILE","Filter: Target Too Close Pointer.tga"
"17:47:21,4799492","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Gather Pointer.tga","NO SUCH FILE","Filter: Gather Pointer.tga"
"17:47:21,4803551","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Gather Pointer.tga","NO SUCH FILE","Filter: Gather Pointer.tga"
"17:47:21,4809794","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Build Pointer.tga","NO SUCH FILE","Filter: Build Pointer.tga"
"17:47:21,4813581","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Build Pointer.tga","NO SUCH FILE","Filter: Build Pointer.tga"
"17:47:21,4819357","Empire Earth.exe","800","QueryDirectory","C:\Spiele\Empire Earth\Data\textures\Blank Pointer.tga","NO SUCH FILE","Filter: Blank Pointer.tga"
