"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"15:57:35,0224787","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\UIControls.sst","NO SUCH FILE","Filter: UIControls.sst"
"15:57:35,0227997","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\UIControls.sst","NO SUCH FILE","Filter: UIControls.sst"
"15:57:40,9696506","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\UIControls.sst","NO SUCH FILE","Filter: UIControls.sst"
"15:57:40,9704223","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\UIControls.sst","NO SUCH FILE","Filter: UIControls.sst"
"15:57:40,9810748","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\mainmenuback_1_1.sst","NO SUCH FILE","Filter: mainmenuback_1_1.sst"
"15:57:40,9815135","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\mainmenuback_1_1.sst","NO SUCH FILE","Filter: mainmenuback_1_1.sst"
"15:57:40,9975037","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\mainmenuback_1_2.sst","NO SUCH FILE","Filter: mainmenuback_1_2.sst"
"15:57:40,9979569","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\mainmenuback_1_2.sst","NO SUCH FILE","Filter: mainmenuback_1_2.sst"
"15:57:41,0113020","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\mainmenuback_1_3.sst","NO SUCH FILE","Filter: mainmenuback_1_3.sst"
"15:57:41,0116151","Empire Earth.exe","11380","QueryDirectory","E:\Program Files\GOG Games\Empire Earth Gold Edition\Empire Earth\Data\textures\mainmenuback_1_3.sst","NO SUCH FILE","Filter: mainmenuback_1_3.sst"
